Id,AboutMe,Age,CreationDate,DisplayName,DownVotes,EmailHash,LastAccessDate,Location,Reputation,UpVotes,Views,WebsiteUrl,AccountId
74837,"<p>check my background out here: <a href=""http://www.linkedin.com/in/abrady"" rel=""nofollow"">http://www.linkedin.com/in/abrady</a></p>

<p>Former game developer and Facebook engineer/manager, currently working in a stealthy startup.</p>
",,2009-03-06 18:55:29.307,aaron,0,,2021-05-29 14:38:24.317,"Los Gatos, CA",1519,249,312,,28135
179916,,,2009-09-27 23:43:31.447,Bado,0,,2021-05-21 19:15:45.993,,1,0,3,,60203
229794,"<p>Started as a nuclear physicist (Diplom-Physiker). <a href=""http://menne-biomed.de/PhysikFreiburg1971/"" rel=""nofollow noreferrer"">http://menne-biomed.de/PhysikFreiburg1971/</a></p>

<p>PhD in genetics/biophysics on color vision in Drosophila. <a href=""http://www.menne-biomed.de/biodrei/index.html"" rel=""nofollow noreferrer"">http://www.menne-biomed.de/biodrei/index.html</a></p>

<p>13 years in neurophysiology: signal processing in bat echolocation in Marburg, Tübingen and Singapore.</p>

<p>Since 1989: Freelance consultant; focus on medical signal processing, MRI, pharmacology and study planning.</p>

<p><a href=""http://menne-biomed.de/blog/"" rel=""nofollow noreferrer"">MedStat Stutter Blog</a></p>

<p><a href=""http://scholar.google.de/citations?hl=de&amp;user=juWZAM4AAAAJ"" rel=""nofollow noreferrer"">Publications</a></p>
",,2009-12-11 17:00:40.007,Dieter Menne,71,,2021-05-29 17:46:58.910,"Tübingen, Germany",9643,1357,2053,http://www.menne-biomed.de,81520
98044,"<p>FullStack Professional working mainly on Java/Spring/Angular/Mongo...
Keen interest in learning and implementing new technologies.</p>
",,2009-04-29 22:20:08.380,Vini,2,,2021-05-25 07:30:07.240,"Silicon Valley, CA, USA",7367,200,425,,34671
147591,,,2009-07-30 04:44:29.830,Matt Clark,0,,2020-02-26 01:03:55.460,"Brisbane, Australia",61,41,13,,49564
178085,,,2009-09-23 21:19:36.743,sergevm,0,,2021-05-29 10:26:25.283,Belgium,113,5,32,,59524
153279,"<p>Veteran developer, DBA and IT manager.</p>
",,2009-08-09 12:23:31.803,Piers C,2,,2021-05-25 20:21:10.873,United States,2570,299,167,http://varyonic.github.io/,51305
137067,"<p><a href=""http://philfreo.com/"" rel=""nofollow"">PhilFreo.com</a></p>
",,2009-07-12 17:30:24.990,philfreo,129,,2021-01-21 01:44:46.600,"Jacksonville, FL",36787,1435,2029,http://philfreo.com,46401
19444,Sunshine and puppy dog tails.,,2008-09-20 01:51:00.943,JPrescottSanders,3,,2021-04-30 19:08:41.113,"Indianapolis, IN",2111,40,272,http://www.fencerowproductions.com,10323
110118,mail: mlvl.jr@gmail.com,,2009-05-20 18:45:59.983,mlvljr,30,,2021-05-18 19:57:53.760,"St. Petersburg, Russia",3660,19562,1039,,38381
44579,,,2008-12-09 12:41:22.600,Paul Adamson,1,,2021-05-21 08:40:52.187,,1922,388,117,,19139
181358,"<p>Python developer. Software Engineer at Freelancer.com</p>
",,2009-09-29 19:15:06.337,solarnz,17,,2021-05-21 23:27:47.503,"Sydney, Australia",1021,54,51,http://trotman.io,60750
175094,,,2009-09-17 17:15:39.207,Travis Heseman,1,,2021-05-28 13:27:17.693,"Columbia, MO",10909,121,501,http://code-ronin.blogspot.com/,58489
121196,,,2009-06-11 09:33:59.093,user121196,33,,2020-09-15 21:37:03.420,,27234,28,1422,,41672
2255990,,,2009-12-02 15:07:08.823,MikeK,0,,2021-05-25 17:09:39.907,"Rochester, MN",632,138,27,,78320
203447,"<p>systems architect/software developer, primarily web apps using Java, particular expertise/experience with web services, SAML, SCORM/AICC, Ajax</p>
",,2009-11-05 13:33:49.430,JST,1,,2021-05-25 13:29:56.137,"Rochester, NY",1094,5,93,http://www.skillsoft.com,70010
1448983,"<h1>SOreadytohelp</h1>

<p>Good ideas want as many people to have them as possible</p>
",,2008-08-11 14:25:34.000,Steen,11,,2021-05-28 12:52:58.237,"Copenhagen, Denmark",5653,1695,713,https://adamatics.com,784
74977,,,2009-03-07 04:51:11.387,belgariontheking,165,,2021-05-10 19:48:34.953,"Cincinnati, Ohio, United States",1355,193,973,,28174
48413,"<p>CTO, Allocadia Software</p>
",,2008-12-22 17:18:50.207,Marplesoft,8,,2020-09-02 20:20:58.500,"Vancouver, Canada",5330,367,509,,20308
230329,,,2009-12-12 15:33:45.570,Vlad,0,,2020-05-24 09:30:24.730,,85,1,7,,81739
15396,"<pre>
try {
 divide and conquer; 
} 
catch 
{
 nothing is impossible; 
} 
finally 
{
 keep it simple!; 
}
</pre>",,2008-09-17 08:56:42.657,c.sokun,3,,2021-05-06 01:29:37.040,Cambodia,1562,84,246,http://chornsokun.wordpress.com,8512
459877,,,2008-09-18 17:55:20.170,beta,12,,2021-05-28 13:13:03.277,,2177,412,137,,209051
74000,"<p>Long time C# developer.  Pretty heavy TSQL developer as well.  Some front end too.</p>
",,2009-03-04 23:48:24.483,dudeNumber4,3,,2021-05-29 15:43:15.067,"Denver, CO",2639,603,499,https://www.intheclouds.blog,27878
179882,"<p>I am a technical startup founder. My background is largely in finance, payments and healthcare. I am particularly interested in artificial intelligence and blockchain technologies.</p>
",,2009-09-27 22:49:47.803,André Hauptfleisch,34,,2021-05-29 06:06:12.523,South Africa,2858,713,280,http://causalnexus.com,60191
202816,"<p>Working with databases, coding primarily in Java and PHP</p>
",,2009-11-04 17:43:55.160,Rob,0,,2021-05-25 19:12:34.690,"Surrey, United Kingdom",1028,27,67,http://www.ketzscher.net,69754
200032,,,2009-10-31 03:53:16.143,chadwackerman,13,,2021-04-07 16:44:51.717,,748,10,46,,68595
220112,,,2009-11-27 15:35:39.033,Larsbj,0,,2021-05-27 12:28:44.177,,318,53,47,,77022
174413,,,2009-09-16 15:13:04.227,Thomas Rauscher,1,,2021-05-28 13:16:23.950,,403,13,47,,58236
6512,"<p>Passionate web developer, specialized in web performance and php. Partner at <a href=""http://nelm.io"" rel=""nofollow"">Nelmio</a>, information junkie and speaker.</p>

<p>Find me also on twitter: <a href=""http://twitter.com/seldaek"" rel=""nofollow"">@seldaek</a></p>
",,2008-09-15 11:44:31.053,Seldaek,20,,2021-05-27 21:28:34.080,"Zurich, Switzerland",37571,89,3269,http://seld.be,4361
